 year |                                                         title                                                         | publication_type | autor_type |                                                               authors                                                                
------+-----------------------------------------------------------------------------------------------------------------------+------------------+------------+--------------------------------------------------------------------------------------------------------------------------------------
 2013 | Some of My Favorite Problems and Results.                                                                             | incollection     | author     | Paul Erd&ouml;s
 2013 | Dense Difference Sets and Their Combinatorial Structure.                                                              | incollection     | author     | Neil Hindman, Paul Erd&ouml;s, Tomasz Luczak, Vitaly Bergelson
 2006 | Extremal problems among subsets of a set.                                                                             | article          | author     | Daniel J. Kleitman, Paul Erd&ouml;s
 2006 | On some applications of graph theory, I.                                                                              | article          | author     | Amram Meir, Paul Erd&ouml;s, Paul Tur&aacute;n, Vera T. S&oacute;s
 2003 | On large intersecting subfamilies of uniform setfamilies.                                                             | article          | author     | Paul Erd&ouml;s, Richard A. Duke, Vojtech R&ouml;dl
 2003 | On the equality of the partial Grundy and upper ochromatic numbers of graphs.                                         | article          | author     | Geert C. E. Prins, Paul Erd&ouml;s, Renu C. Laskar, Stephen T. Hedetniemi
 2002 | A Ramsey-type problem and the Tur&aacute;n numbers.                                                                   | article          | author     | David S. Gunderson, Michael Molloy, Noga Alon, Paul Erd&ouml;s
 2002 | Random induced graphs.                                                                                                | article          | author     | B&eacute;la Bollob&aacute;s, Cecil C. Rousseau, Paul Erd&ouml;s, Ralph J. Faudree, Richard H. Schelp
 2001 | Edge disjoint monochromatic triangles in 2-colored graphs.                                                            | article          | author     | Jen&ouml; Lehel, Michael S. Jacobson, Paul Erd&ouml;s, Ralph J. Faudree, Ronald J. Gould
 1999 | Induced subgraphs of given sizes.                                                                                     | article          | author     | Bruce Rothschild, Paul Erd&ouml;s, Vera T. S&oacute;s, Zolt&aacute;n F&uuml;redi
 1999 | The number of cycle lengths in graphs of given minimum degree and girth.                                              | article          | author     | Cecil C. Rousseau, Paul Erd&ouml;s, Ralph J. Faudree, Richard H. Schelp
 1999 | Prime power divisors of binomial coefficients.                                                                        | article          | author     | Grigori Kolesnik, Paul Erd&ouml;s
 1999 | Greedy algorithm, arithmetic progressions, subset sums and divisibility.                                              | article          | author     | Andr&aacute;s S&aacute;rk&ouml;zy, Csaba S&aacute;ndor, Gerard Rauzy, Paul Erd&ouml;s, Vsevolod F. Lev
 1999 | Subsets of an interval whose product is a power.                                                                      | article          | author     | Esther Szekeres, Janice L. Malouf, J. L. Selfridge, Paul Erd&ouml;s
 1999 | On arithmetic properties of integers with missing digits II: Prime factors.                                           | article          | author     | Andr&aacute;s S&aacute;rk&ouml;zy, Christian Mauduit, Paul Erd&ouml;s
 1999 | Ensembles de multiples de suites finies.                                                                              | article          | author     | Gerald Tenenbaum, Paul Erd&ouml;s
 1999 | On the orders of directly indecomposable groups.                                                                      | article          | author     | Paul Erd&ouml;s, P&eacute;ter P. P&aacute;lfy
 1999 | Split and balanced colorings of complete graphs.                                                                      | article          | author     | Andr&aacute;s Gy&aacute;rf&aacute;s, Paul Erd&ouml;s
 1999 | Extremal graphs for weights.                                                                                          | article          | author     | Amites Sarkar, B&eacute;la Bollob&aacute;s, Paul Erd&ouml;s
 1999 | Sur les ensembles repr&eacute;sent&eacute;s par les partitions d'un entier n<sup>1</sup>.                             | article          | author     | Jean-Louis Nicolas, Marc Del&eacute;glise, Paul Erd&ouml;s
 1999 | Graphs of diameter two with no 4-circuits.                                                                            | article          | author     | John Adrian Bondy, Paul Erd&ouml;s, Siemion Fajtlowicz
 1999 | On the angular distribution of Gaussian integers with fixed norm.                                                     | article          | author     | Paul Erd&ouml;s, Richard Roxby Hall
 1999 | Finding Large p-Colored Diameter Two Subgraphs.                                                                       | article          | author     | Paul Erd&ouml;s, Tom Fowler
 1999 | On a question about sum-free sequences.                                                                               | article          | author     | Giuseppe Melfi, Jean-Marc Deshouillers, Paul Erd&ouml;s
 1999 | Popular distances in 3-space.                                                                                         | article          | author     | Gergely Harcos, J&aacute;nos Pach, Paul Erd&ouml;s
 1998 | Graphs of Extremal Weights.                                                                                           | article          | author     | B&eacute;la Bollob&aacute;s, Paul Erd&ouml;s
 1998 | How to decrease the diameter of triangle-free graphs.                                                                 | article          | author     | Andr&aacute;s Gy&aacute;rf&aacute;s, Mikl&oacute;s Ruszink&oacute;, Paul Erd&ouml;s
 1997 | Some old and new problems in various branches of combinatorics.                                                       | article          | author     | Paul Erd&ouml;s
 1997 | On cycles in the coprime graph of integers.                                                                           | article          | author     | G&aacute;bor N. S&aacute;rk&ouml;zy, Paul Erd&ouml;s
 1997 | Some recent problems and results in graph theory.                                                                     | article          | author     | Paul Erd&ouml;s
 1997 | Minimum Planar Sets with Maximum Equidistance Counts.                                                                 | article          | author     | Paul Erd&ouml;s, Peter C. Fishburn
 1997 | Intersection Statements for Systems of Sets.                                                                          | article          | author     | A. G. Meyer, Alexandr V. Kostochka, David S. Gunderson, Paul Erd&ouml;s, Walter A. Deuber
 1997 | Covering a graph by complete bipartite graphs.                                                                        | article          | author     | L&aacute;szl&oacute; Pyber, Paul Erd&ouml;s
 1997 | A Variant of the Classical Ramsey Problem.                                                                            | article          | author     | Andr&aacute;s Gy&aacute;rf&aacute;s, Paul Erd&ouml;s
 1997 | A Class of Edge Critical 4-Chromatic Graphs.                                                                          | article          | author     | Andr&aacute;s Gy&aacute;rf&aacute;s, Guantao Chen, Paul Erd&ouml;s, Richard H. Schelp
 1997 | New Ramsey Bounds from Cyclic Graphs of Prime Order.                                                                  | article          | author     | Craig A. Tovey, Neil J. Calkin, Paul Erd&ouml;s
 1997 | Distinct distances in finite planar sets.                                                                             | article          | author     | Paul Erd&ouml;s, Peter C. Fishburn
 1997 | The size of the largest bipartite subgraphs.                                                                          | article          | author     | Andr&aacute;s Gy&aacute;rf&aacute;s, Paul Erd&ouml;s, Yoshiharu Kohayakawa
 1996 | d-complete sequences of integers.                                                                                     | article          | author     | Mordechai Lewin, Paul Erd&ouml;s
 1996 | Sizes of graphs with induced subgraphs of large maximum degree.                                                       | article          | author     | Paul Erd&ouml;s, Richard H. Schelp, Talmage James Reid, William Staton
 1996 | Maximum planar sets that determine k distances.                                                                       | article          | author     | Paul Erd&ouml;s, Peter C. Fishburn
 1996 | Hypercube subgraphs with minimal detours.                                                                             | article          | author     | Paul Erd&ouml;s, Peter Hamburger, Raymond E. Pippert, William D. Weakley
 1996 | On <i>k</i>-saturated graphs with restrictions on the degrees.                                                        | article          | author     | Michael Krivelevich, Noga Alon, Paul Erd&ouml;s, Ron Holzman
 1996 | Ramsey-remainder.                                                                                                     | article          | author     | Paul Erd&ouml;s, Pavel Valtr, Zsolt Tuza
 1996 | Graphs in which each C<sub>4</sub> spans K<sub>4</sub>.                                                               | article          | author     | Andr&aacute;s Gy&aacute;rf&aacute;s, Paul Erd&ouml;s, Tomasz Luczak
 1996 | Covering and independence in triangle structures.                                                                     | article          | author     | Paul Erd&ouml;s, Tibor Gallai, Zsolt Tuza
 1996 | Proof of a Conjecture of Bollob's on Nested Cycles.                                                                   | article          | author     | Guantao Chen, Paul Erd&ouml;s, William Staton
 1995 | Multiplicities of Interpoint Distances in Finite Planar Sets.                                                         | article          | author     | Paul Erd&ouml;s, Peter C. Fishburn
 1995 | Two Combinatorial Problems in the Plane.                                                                              | article          | author     | George B. Purdy, Paul Erd&ouml;s
 1995 | Degree sequence and independence in K(4)-free graphs.                                                                 | article          | author     | Paul Erd&ouml;s, Ralph J. Faudree, Richard H. Schelp, Talmage James Reid, William Staton
 1995 | On the Size of a Random Maximal Graph.                                                                                | article          | author     | Paul Erd&ouml;s, Peter Winkler 0001, Stephen Suen
 1995 | Covering of r-Graphs by Complete r-Partite Subgraphs.                                                                 | article          | author     | Paul Erd&ouml;s, Vojtech R&ouml;dl
 1995 | Extremal Graphs for Intersecting Triangles.                                                                           | article          | author     | David S. Gunderson, Paul Erd&ouml;s, Ronald J. Gould, Zolt&aacute;n F&uuml;redi
 1995 | Monochromatic and zero-sum sets of nondecreasing diameter.                                                            | article          | author     | Arie Bialostocki, Hanno Lefmann, Paul Erd&ouml;s
 1995 | On product representations of powers, I.                                                                              | article          | author     | Andr&aacute;s S&aacute;rk&ouml;zy, Paul Erd&ouml;s, Vera T. S&oacute;s
 1995 | Intervertex Distances in Convex Polygons.                                                                             | article          | author     | Paul Erd&ouml;s, Peter C. Fishburn
 1994 | Local and global average degree in graphs and multigraphs.                                                            | article          | author     | Edward A. Bertram, Jozef Sir&aacute;n, Paul Erd&ouml;s, Peter Hor&aacute;k, Zsolt Tuza
 1994 | Independet Transversals in Sparse Partite Hypergraphs.                                                                | article          | author     | Andr&aacute;s Gy&aacute;rf&aacute;s, Paul Erd&ouml;s, Tomasz Luczak
 1994 | Crossing Families.                                                                                                    | article          | author     | Boris Aronov, Daniel J. Kleitman, J&aacute;nos Pach, Leonard J. Schulman, Michael Klugerman, Paul Erd&ouml;s, Wayne Goddard
 1994 | A Postscript on Distances in Convex n-Gons.                                                                           | article          | author     | Paul Erd&ouml;s, Peter C. Fishburn
 1994 | Change of Leadership in a Random Graph Process.                                                                       | article          | author     | Paul Erd&ouml;s, Tomasz Luczak
 1994 | Problems and results in discrete mathematics.                                                                         | article          | author     | Paul Erd&ouml;s
 1994 | On additive properties of general sequences.                                                                          | article          | author     | Andr&aacute;s S&aacute;rk&ouml;zy, Paul Erd&ouml;s, Vera T. S&oacute;s
 1994 | Tur&aacute;n-Ramsey Theorems and K<sup>p</sup>-Independence Numbers.                                                  | article          | author     | Andr&aacute;s Hajnal, Endre Szemer&eacute;di, Mikl&oacute;s Simonovits, Paul Erd&ouml;s, Vera T. S&oacute;s
 1994 | A local density condition for triangles.                                                                              | article          | author     | Cecil C. Rousseau, Paul Erd&ouml;s, Ralph J. Faudree, Richard H. Schelp
