 year |                                                                    title                                                                    | publication_type | autor_type |                                               authors                                                
------+---------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------------------------------------------------------------------------------------------------
 2018 | Broadcast with Energy-Exchanging Mobile Agents Distributed on a Tree.                                                                       | inproceedings    | author     | Jean Moussi, Jurek Czyzowicz, Krzysztof Diks, Wojciech Rytter
 2017 | Energy-Optimal Broadcast in a Tree with Mobile Agents.                                                                                      | inproceedings    | author     | Jean Moussi, Jurek Czyzowicz, Krzysztof Diks, Wojciech Rytter
 2016 | Communication Problems for Mobile Agents Exchanging Energy.                                                                                 | inproceedings    | author     | Jean Moussi, Jurek Czyzowicz, Krzysztof Diks, Wojciech Rytter
 2015 | Algorithms for Communication Problems for Mobile Agents Exchanging Energy.                                                                  | article          | author     | Jean Moussi, Jurek Czyzowicz, Krzysztof Diks, Wojciech Rytter
 2010 | Perfect Matching for Biconnected Cubic Graphs in <i>O</i>(<i>n</i> log<sup>2</sup><i>n</i>) Time.                                           | inproceedings    | author     | Krzysztof Diks, Piotr Stanczyk
 2008 | From Top Coders to Top IT Professionals.                                                                                                    | inproceedings    | author     | Jan Madey, Krzysztof Diks
 2007 | Dynamic Plane Transitive Closure.                                                                                                           | inproceedings    | author     | Krzysztof Diks, Piotr Sankowski
 2006 | Exploring Planar Graphs Using Unoriented Maps.                                                                                              | article          | author     | Andrzej Pelc, Krzysztof Diks, Stefan Dobrev
 2004 | Tree exploration with little memory.                                                                                                        | article          | author     | Andrzej Pelc, Evangelos Kranakis, Krzysztof Diks, Pierre Fraigniaud
 2002 | Mathematical Foundations of Computer Science 2002, 27th International Symposium, MFCS 2002, Warsaw, Poland, August 26-30, 2002, Proceedings | proceedings      | editor     | Krzysztof Diks, Wojciech Rytter
 2002 | A New 3-Color Criterion for Planar Graphs.                                                                                                  | inproceedings    | author     | Krzysztof Diks, Lukasz Kowalik, Maciej Kurowski
 2002 | The impact of information on broadcasting time in linear radio networks.                                                                    | article          | author     | Andrzej Pelc, Danny Krizanc, Evangelos Kranakis, Krzysztof Diks
 2002 | Tree exploration with little memory.                                                                                                        | inproceedings    | author     | Andrzej Pelc, Evangelos Kranakis, Krzysztof Diks, Pierre Fraigniaud
 2000 | Optimal Adaptive Broadcasting with a Bounded Fraction of Faulty Nodes.                                                                      | article          | author     | Andrzej Pelc, Krzysztof Diks
 2000 | Reliable Minimum Finding Comparator Networks.                                                                                               | article          | author     | Andrzej Pelc, Krzysztof Diks, Marek Piotr&oacute;w, Piotr Denejko
 1999 | An Optimal Algorithm for Broadcasting Multiple Messages in Trees.                                                                           | article          | author     | Andrzej Lingas, Andrzej Pelc, Krzysztof Diks
 1999 | The Impact of Knowledge on Broadcasting Time in Radio Networks.                                                                             | inproceedings    | author     | Andrzej Pelc, Danny Krizanc, Evangelos Kranakis, Krzysztof Diks
 1998 | More General Parallel Tree Contraction: Register Allocation and Broadcasting in a Tree.                                                     | article          | author     | Krzysztof Diks, Torben Hagerup
 1998 | Broadcasting in Unlabeled Hypercubes with a Linear Number of Messages.                                                                      | article          | author     | Andrzej Pelc, Evangelos Kranakis, Krzysztof Diks, Peter Ruzicka, Stefan Dobrev
 1998 | System Diagnosis with Smallest Risk of Error.                                                                                               | article          | author     | Andrzej Pelc, Krzysztof Diks
 1998 | Perfect Broadcasting in Unlabeled Networks.                                                                                                 | article          | author     | Andrzej Pelc, Evangelos Kranakis, Krzysztof Diks
 1998 | Broadcasting in Unlabeled Tori.                                                                                                             | article          | author     | Andrzej Pelc, Evangelos Kranakis, Krzysztof Diks
 1997 | Globally Optimal Diagnosis in Systems with Random Faults.                                                                                   | article          | author     | Andrzej Pelc, Krzysztof Diks
 1997 | Optimal Adaptive Broadcasting with a Bounded Fraction of Faulty Nodes (Extended Abstract).                                                  | inproceedings    | author     | Andrzej Pelc, Krzysztof Diks
 1997 | Transition-Optimal Token Distribution.                                                                                                      | article          | author     | Andrzej Pelc, Bogdan S. Chlebus, Krzysztof Diks
 1997 | Reliable Broadcasting in Logarithmic Time with Byzantine Link Failures.                                                                     | article          | author     | Andrzej Pelc, Krzysztof Diks, Piotr Berman
 1997 | An Optimal Algorithm for Broadcasting Multiple Messages in Trees.                                                                           | inproceedings    | author     | Andrzej Lingas, Andrzej Pelc, Krzysztof Diks
 1996 | System Diagnosis with Smallest Risk of Error.                                                                                               | inproceedings    | author     | Andrzej Pelc, Krzysztof Diks
 1996 | Parallel Maximum Independent Set in Convex Bipartite Graphs.                                                                                | article          | author     | Artur Czumaj, Krzysztof Diks, Teresa M. Przytycka
 1996 | Reliable Broadcasting in Hypercubes with Random Link and Node Failures.                                                                     | article          | author     | Andrzej Pelc, Bogdan S. Chlebus, Krzysztof Diks
 1996 | Efficient Gossiping by Packets in Networks with Random Faults.                                                                              | article          | author     | Andrzej Pelc, Krzysztof Diks
 1996 | Reliable Computations on Faulty EREW PRAM.                                                                                                  | article          | author     | Andrzej Pelc, Krzysztof Diks
 1996 | Fault-Tolerant Linear Broadcasting.                                                                                                         | article          | author     | Andrzej Pelc, Krzysztof Diks
 1996 | Broadcasting with universal lists.                                                                                                          | article          | author     | Andrzej Pelc, Krzysztof Diks
 1996 | More General Parallel Tree Contraction: Register Allocation and Broadcasting in a Tree.                                                     | inproceedings    | author     | Krzysztof Diks, Torben Hagerup
 1995 | O(log log n)-Time Integer Geometry on the CRCW PRAM.                                                                                        | article          | author     | Bogdan S. Chlebus, Krzysztof Diks, Miroslaw Kowaluk
 1995 | Broadcasting with universal lists.                                                                                                          | inproceedings    | author     | Andrzej Pelc, Krzysztof Diks
 1995 | Anonymous Wireless Rings.                                                                                                                   | article          | author     | Adam Malinowski, Andrzej Pelc, Evangelos Kranakis, Krzysztof Diks
 1995 | Token Transfer in a Faulty Network.                                                                                                         | article          | author     | Adam Malinowski, Andrzej Pelc, Krzysztof Diks
